record_id,screen_axis,entry,photocatalyst,pc_mol_pct,copper_source,cu_mol_pct,ligand,ligand_mol_pct,solvent,temp_c,scale_mmol,time_h,light_nm,yield_status,yield_pct,ee_pct,source_table,source_pdf_page,source_doi,model_role,notes
CU-01,copper_source,1,fac-Ir(ppy)3,1,CuBr,5,L1,6,DCM,25,0.1,12,450-465,measured,82,88,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield
CU-02,copper_source,2,fac-Ir(ppy)3,1,CuCl2,5,L1,6,DCM,25,0.1,12,450-465,measured,47,88,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield
CU-03,copper_source,3,fac-Ir(ppy)3,1,CuBr2,5,L1,6,DCM,25,0.1,12,450-465,measured,72,88,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield
CU-04,copper_source,4,fac-Ir(ppy)3,1,CuCl,5,L1,6,DCM,25,0.1,12,450-465,measured,80,87,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield
CU-05,copper_source,5,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,25,0.1,12,450-465,measured,90,90,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield
CU-06,copper_source,6,fac-Ir(ppy)3,1,Cu(CH3CN)4BF4,5,L1,6,DCM,25,0.1,12,450-465,measured,45,88,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield
CU-07,copper_source,7,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,measured,50,88,Table S3,17,10.1021/acs.orglett.5c05116,duplicate_anchor,same condition as SOLV-02
LIG-01,ligand,1,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,25,0.1,12,450-465,measured,90,90,Table S4,17,10.1021/acs.orglett.5c05116,duplicate_anchor,same condition as CU-05
LIG-02,ligand,2,fac-Ir(ppy)3,1,CuCN,5,L2,6,DCM,25,0.1,12,450-465,measured,70,47,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield
LIG-03,ligand,3,fac-Ir(ppy)3,1,CuCN,5,L3,6,DCM,25,0.1,12,450-465,measured,50,37,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield
LIG-04,ligand,4,fac-Ir(ppy)3,1,CuCN,5,L4,6,DCM,25,0.1,12,450-465,less_than_50,,0,Table S4,17,10.1021/acs.orglett.5c05116,censored,yield printed as <50%; retained as interval only
LIG-05,ligand,5,fac-Ir(ppy)3,1,CuCN,5,L5,6,DCM,25,0.1,12,450-465,measured,50,25,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield
LIG-06,ligand,6,fac-Ir(ppy)3,1,CuCN,5,L6,6,DCM,25,0.1,12,450-465,measured,50,25,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield
TEMP-01,temperature,1,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,25,0.1,12,450-465,measured,90,90,Table S5,18,10.1021/acs.orglett.5c05116,duplicate_anchor,rt represented as 25 C for software
TEMP-02,temperature,2,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,0,0.1,12,450-465,measured,55,89,Table S5,18,10.1021/acs.orglett.5c05116,train,isolated yield
TEMP-03,temperature,3,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,40,0.1,12,450-465,measured,92,90,Table S5,18,10.1021/acs.orglett.5c05116,train,isolated yield
OPT-01,reduced_loading,13,fac-Ir(ppy)3,1,CuCN,2,L1,3,DCM,25,0.1,12,450-465,measured,90,90,Table 1,2,10.1021/acs.orglett.5c05116,train,optimized condition at reduced Cu/ligand loading
REP-01,scope_replicate,2a,fac-Ir(ppy)3,1,CuCN,2,L1,3,DCM,25,0.2,12,450-465,measured,95,90,Table 2 / SI analytical data,3 / 26,10.1021/acs.orglett.5c05116,external_repeat,independent scale result for substrate 1a
CTRL-01,control,no P(OEt)3,fac-Ir(ppy)3,1,CuCN,2,L1,3,DCM,25,0.1,12,450-465,not_obtained,,,Control experiment,25,10.1021/acs.orglett.5c05116,mechanistic_gate,P(OEt)3 omitted; product 2a not obtained
CTRL-02,control,no photocatalyst,none,0,CuCN,2,L1,3,DCM,25,0.1,12,450-465,not_obtained,,,Control experiment,25,10.1021/acs.orglett.5c05116,mechanistic_gate,fac-Ir(ppy)3 omitted; product 2a not obtained
