id,product_name,pubchem_query,manual_smiles,scope_group,source_pdf_page,yield_pct,ee_pct,radical_class,benzylic,aryl_rings,fused_aromatic,hetero_n,hetero_s,cyclic_center,alpha_chain_carbons,ortho_sub_count,meta_sub_count,para_sub_count,hammett_sigma_mp,halogen_count,edg_count,ewg_count,sidechain_polar_count,alpha_carbonyl,propargyl,source_doi,notes
2k,"(S)-2-(2-fluoro-[1,1'-biphenyl]-4-yl)propanenitrile",2-(2-fluoro-4-biphenylyl)propanenitrile,CC(C#N)c1ccc(-c2ccccc2)cc1F,biphenyl,30,70,90,benzylic,1,2,0,0,0,0,1,1,0,1,-0.01,1,0,0,0,0,0,10.1021/acs.orglett.5c05116,ortho F encoded separately; para phenyl sigma used
2l,methyl (S)-4-(1-cyanoethyl)benzoate,methyl 4-(1-cyanoethyl)benzoate,COC(=O)c1ccc(C(C)C#N)cc1,para_ewg,30,71,84,benzylic,1,1,0,0,0,0,1,0,0,1,0.45,0,0,1,2,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p for CO2Me
2m,(S)-2-(4-(trifluoromethyl)phenyl)propanenitrile,2-(4-(trifluoromethyl)phenyl)propanenitrile,CC(C#N)c1ccc(C(F)(F)F)cc1,para_ewg,31,72,84,benzylic,1,1,0,0,0,0,1,0,0,1,0.54,3,0,1,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p for CF3
2n,(S)-4-(1-cyanoethyl)benzonitrile,4-(1-cyanoethyl)benzonitrile,CC(C#N)c1ccc(C#N)cc1,para_ewg,31,70,41,benzylic,1,1,0,0,0,0,1,0,0,1,0.66,0,0,1,1,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p for CN; low-ee outlier retained
2o,(S)-2-(4-fluorophenyl)propanenitrile,2-(4-fluorophenyl)propanenitrile,CC(C#N)c1ccc(F)cc1,para_halogen,32,86,80,benzylic,1,1,0,0,0,0,1,0,0,1,0.06,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p for F
2p,(S)-2-(4-chlorophenyl)propanenitrile,2-(4-chlorophenyl)propanenitrile,CC(C#N)c1ccc(Cl)cc1,para_halogen,32,85,86,benzylic,1,1,0,0,0,0,1,0,0,1,0.23,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p for Cl
2q,(S)-2-(4-bromophenyl)propanenitrile,2-(4-bromophenyl)propanenitrile,CC(C#N)c1ccc(Br)cc1,para_halogen,32,80,86,benzylic,1,1,0,0,0,0,1,0,0,1,0.23,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p for Br
2r,(S)-2-(3-chlorophenyl)propanenitrile,2-(3-chlorophenyl)propanenitrile,CC(C#N)c1cccc(Cl)c1,meta_halogen,33,80,90,benzylic,1,1,0,0,0,0,1,0,1,0,0.37,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_m for Cl
2s,(S)-2-(3-bromophenyl)propanenitrile,2-(3-bromophenyl)propanenitrile,CC(C#N)c1cccc(Br)c1,meta_halogen,33,80,90,benzylic,1,1,0,0,0,0,1,0,1,0,0.39,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_m for Br
2t,(S)-2-(2-chlorophenyl)propanenitrile,2-(2-chlorophenyl)propanenitrile,CC(C#N)c1ccccc1Cl,ortho_halogen,34,88,94,benzylic,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,ortho effect encoded separately; no Hammett sigma assigned
2u,(S)-2-(2-bromophenyl)propanenitrile,2-(2-bromophenyl)propanenitrile,CC(C#N)c1ccccc1Br,ortho_halogen,34,85,95,benzylic,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,ortho effect encoded separately; no Hammett sigma assigned
2v,(S)-2-(2-fluorophenyl)propanenitrile,2-(2-fluorophenyl)propanenitrile,CC(C#N)c1ccccc1F,ortho_halogen,34,85,91,benzylic,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,ortho effect encoded separately; no Hammett sigma assigned
2w,"(S)-2-(2,4-dichlorophenyl)propanenitrile","2-(2,4-dichlorophenyl)propanenitrile",CC(C#N)c1ccc(Cl)cc1Cl,polyhalogen,35,89,93,benzylic,1,1,0,0,0,0,1,1,0,1,0.23,2,0,1,0,0,0,10.1021/acs.orglett.5c05116,para sigma plus separate ortho count
2x,"(S)-2-(2,6-dichlorophenyl)propanenitrile","2-(2,6-dichlorophenyl)propanenitrile",CC(C#N)c1c(Cl)cccc1Cl,polyhalogen,35,75,95,benzylic,1,1,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,10.1021/acs.orglett.5c05116,two ortho substituents
2y,(S)-2-(4-bromo-3-fluorophenyl)propanenitrile,2-(4-bromo-3-fluorophenyl)propanenitrile,CC(C#N)c1cc(F)c(Br)cc1,polyhalogen,35,80,86,benzylic,1,1,0,0,0,0,1,0,1,1,0.57,2,0,1,0,0,0,10.1021/acs.orglett.5c05116,sigma_m(F)+sigma_p(Br)
2z,"(S)-1,2,3,4-tetrahydronaphthalene-1-carbonitrile","1,2,3,4-tetrahydronaphthalene-1-carbonitrile",N#CC1CCCc2ccccc21,cyclic_benzylic,36,70,75,benzylic,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,cyclic benzylic radical
3a,(R)-2-(thiophen-2-yl)propanenitrile,2-(thiophen-2-yl)propanenitrile,CC(C#N)c1cccs1,heteroaryl,36,50,90,heteroaryl,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,thiophene tolerated
3b,"(S)-2-chloro-5,6,7,8-tetrahydroquinoline-5-carbonitrile","2-chloro-5,6,7,8-tetrahydroquinoline-5-carbonitrile",N#CC1CCCc2ccc(Cl)nc21,special_scope,37,54,27,heteroaryl,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,10.1021/acs.orglett.5c05116,pyridine-containing low-ee case
3c,"(R)-1-oxo-1,2,3,4-tetrahydronaphthalene-2-carbonitrile","1-oxo-1,2,3,4-tetrahydronaphthalene-2-carbonitrile",N#CC1CCC2=CC=CC=C2C1=O,special_scope,37-38,80,60,alpha_carbonyl,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,10.1021/acs.orglett.5c05116,alpha-cyano ketone
3d,(R)-2-phenethyl-4-(trimethylsilyl)but-3-ynenitrile,"2-phenethyl-4-(trimethylsilyl)but-3-ynenitrile",C[Si](C)(C)C#CC(C#N)CCc1ccccc1,special_scope,38,80,19,propargylic,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,10.1021/acs.orglett.5c05116,propargylic radical class; very low ee
